policy_id,month,cuml_prob
C001000002,1,1
C001000067,1,1
C001000157,1,1
C001000244,1,1
C001000551,1,1
C001000774,1,1
C001000789,1,1
C001001003,1,1
C001001125,1,1
C001001153,1,1
C001000002,2,0.9875494682762762
C001000067,2,0.9886920932350253
C001000157,2,0.9897851583103808
C001000244,2,0.9891791041677078
C001000551,2,0.9866883090399993
C001000774,2,0.9903397007520035
C001000789,2,0.989723789788187
C001001003,2,0.9886037959698295
C001001125,2,0.9882024354935933
C001001153,2,0.9854046266211854
C001000002,3,0.9753116191094044
C001000067,3,0.9775645206166151
C001000157,3,0.9797221320402343
C001000244,3,0.9785255429891815
C001000551,3,0.9736153940620774
C001000774,3,0.9808176558319232
C001000789,3,0.9796009332682521
C001001003,3,0.9773903333943139
C001001125,3,0.9765987501549458
C001001153,3,0.9710896592594299
C001000002,4,0.9630787003264897
C001000067,4,0.9664285441175672
C001000157,4,0.969640357211723
C001000244,4,0.9678586771870876
C001000551,4,0.9605591562932762
C001000774,4,0.9712725182877264
C001000789,4,0.969459846366763
C001001003,4,0.9661694056098379
C001001125,4,0.9649920602042699
C001001153,4,0.9568115783797585
C001000002,5,0.9508948458509572
C001000067,5,0.9553242477339425
C001000157,5,0.9595760178309491
C001000244,5,0.9572168557499476
C001000551,5,0.9475667583747982
C001000774,5,0.9617384865284224
C001000789,5,0.9593369325754422
C001001003,5,0.9549814106654826
C001001125,5,0.9534241890629936
C001001153,5,0.9426220146061438
C001000002,6,0.9392425917663891
C001000067,6,0.9446921587943976
C001000157,6,0.9499290060464544
C001000244,6,0.9470225549871386
C001000551,6,0.9351520765637595
C001000774,6,0.9525946714683808
C001000789,6,0.9496343769671253
C001001003,6,0.9442701393136911
C001001125,6,0.9423537254279226
C001001153,6,0.9290810436409993
C001000002,7,0.9276868652817815
C001000067,7,0.9341361163248476
C001000157,7,0.9403405530726673
C001000244,7,0.9368962531151666
C001000551,7,0.922850825257585
C001000774,7,0.9435013396704384
C001000789,7,0.9399913069425504
C001001003,7,0.9336364173363616
C001001125,7,0.931367811623958
C001001153,7,0.9156810071863974
C001000002,8,0.9160051683102653
C001000067,8,0.9234526575774071
C001000157,8,0.9306256372867855
C001000244,8,0.9266426752447536
C001000551,8,0.9104263172635846
C001000774,8,0.9342829147283435
C001000789,8,0.9302216593720917
C001001003,8,0.9228753023270269
C001001125,8,0.9202547978573055
C001001153,8,0.9021643076360703
C001000002,9,0.904515735273257
C001000067,9,0.9129327603195811
C001000157,9,0.92104877851558
C001000244,9,0.9165410569649437
C001000551,9,0.8982170557679474
C001000774,9,0.9251903516472231
C001000789,9,0.920591449384439
C001001003,9,0.9122798930030782
C001001125,9,0.9093173928493599
C001001153,9,0.8888992202917522
C001000002,10,0.8929525781767801
C001000067,10,0.9023328998399366
C001000157,10,0.911388273066642
C001000244,10,0.9063575550671923
C001000551,10,0.8859403501215507
C001000774,10,0.9160131448281504
C001000789,10,0.9108777393851508
C001001003,10,0.9016049162865264
C001001125,10,0.8983024027777596
C001001153,10,0.8755785072109954
C001000002,11,0.8820781590227198
C001000067,11,0.89235283694809
C001000157,11,0.9022825575348598
C001000244,11,0.8967647703933309
C001000551,11,0.8744049772737326
C001000774,11,0.9073581140148167
C001000789,11,0.901722443894488
C001001003,11,0.8915550292718307
C001001125,11,0.8879366332556663
C001001153,11,0.8630784953306023
C001000002,12,0.8713465647147622
C001000067,12,0.8824927133118792
C001000157,12,0.8932765513098562
C001000244,12,0.8872827073123191
C001000551,12,0.8630308139674401
C001000774,12,0.898793169322973
C001000789,12,0.892667949421375
C001001003,12,0.8816267874456646
C001001125,12,0.8777003963376835
C001001153,12,0.8507688488369294
C001000002,13,0.8605268476184574
C001000067,13,0.8725402689812395
C001000157,13,0.8841763009467651
C001000244,13,0.8777072095988303
C001000551,13,0.8515731226093239
C001000774,13,0.8901338095587101
C001000789,13,0.8835192633727167
C001001003,13,0.8716064705793636
C001001125,13,0.8673733683666068
C001001153,13,0.838384729257348
C001000002,14,0.8521693488448467
C001000067,14,0.8648447769368514
C001000157,14,0.8771328362297506
C001000244,14,0.8702999422542576
C001000551,14,0.8427296898124591
C001000774,14,0.883428251809417
C001000789,14,0.8764387001926213
C001001003,14,0.8638591125108744
C001001125,14,0.8593917523057354
C001001153,14,0.828837298924526
C001000002,15,0.8440953952592988
C001000067,15,0.8574037524772155
C001000157,15,0.8703164857212458
C001000244,15,0.8631348973118491
C001000551,15,0.834192021383848
C001000774,15,0.8769361152906038
C001000789,15,0.8695867743459247
C001001003,15,0.8563684518546324
C001001125,15,0.851677006257342
C001001153,15,0.8196292022106492
C001000002,16,0.8359440569398618
C001000067,16,0.8498847423221916
C001000157,16,0.8634228552966612
C001000244,16,0.8558920232657401
C001000551,16,0.8255782905590772
C001000774,16,0.8703675527382275
C001000789,16,0.862657494863111
C001001003,16,0.8487998038819425
C001001125,16,0.8438843678236164
C001001153,16,0.8103483438446544
C001000002,17,0.828061665260266
C001000067,17,0.842607377578858
C001000157,17,0.8567451268002949
C001000244,17,0.8488792774337112
C001000551,17,0.8172543225929108
C001000774,17,0.8640019829812837
C001000789,17,0.8559455523368488
C001001003,17,0.8414748973067098
C001001125,17,0.8363450277875387
C001001153,17,0.8013886224011203
C001000002,18,0.8197267920933522
C001000067,18,0.8349053029523339
C001000157,18,0.8496715758848307
C001000244,18,0.8414544070858613
C001000551,18,0.8084585255448068
C001000774,18,0.8572561408497277
C001000789,18,0.8488361039727887
C001001003,18,0.8337230475352845
C001001125,18,0.8283687784043147
C001001153,18,0.7919306656053884
C001000002,19,0.8113371805066188
C001000067,19,0.8271453425224116
C001000157,19,0.8425384479081077
C001000244,19,0.8339707339920253
C001000551,19,0.7996112499944803
C001000774,19,0.8504503785313325
C001000789,19,0.841667138154542
C001001003,19,0.8259135058238608
C001001125,19,0.820335823545365
C001001153,19,0.782427434121077
C001000002,20,0.8037637179864439
C001000067,20,0.8201339168936748
C001000157,20,0.8360877974239667
C001000244,20,0.8272063304353942
C001000551,20,0.7916301127512287
C001000774,20,0.8442930658637867
C001000789,20,0.8351843942048094
C001001003,20,0.8188577762314495
C001001125,20,0.8130805585615895
C001001153,20,0.7738633144539472
C001000002,21,0.7960572402031078
C001000067,21,0.8129930848410873
C001000157,21,0.8295125803124159
C001000244,21,0.8203145049940235
C001000551,21,0.7835141739481007
C001000774,21,0.8380141833240601
C001000789,21,0.8285767747401407
C001001003,21,0.8116723094471389
C001001125,21,0.8056941635194996
C001001153,21,0.7651631444636693
C001000002,22,0.7882605153150157
C001000067,22,0.8057621335058043
C001000157,22,0.8228486613582269
C001000244,22,0.8133330310194992
C001000551,22,0.7753087588065998
C001000774,22,0.8316478255923443
C001000789,22,0.8218803390447862
C001001003,22,0.8043966651551743
C001001125,22,0.7982174295119787
C001001153,22,0.7563759530866385
C001000002,23,0.780557150365672
C001000067,23,0.7986112814525973
C001000157,23,0.8162528438298577
C001000244,23,0.80642622420158006
C001000551,23,0.7672071455738566
C001000774,23,0.8253437581506137
C001000789,23,0.8152526595620277
C001001003,23,0.797202119468025
C001001125,23,0.7908263911309006
C001001153,23,0.7477087821997238
C001000002,24,0.773045462980994
C001000067,24,0.7916320842486001
C001000157,24,0.8098098222277144
C001000244,24,0.7996826312247917
C001000551,24,0.7593124784465858
C001000774,24,0.8191830445183782
C001000789,24,0.8087788263490645
C001001003,24,0.790180765291126
C001001125,24,0.7836155523780085
C001001153,24,0.7392715523378796
C001000002,25,0.76554266854344
C001000067,25,0.7846548985143635
C001000157,25,0.8033631384289439
C001000244,25,0.7929384078929991
C001000551,25,0.7514324880862666
C001000774,25,0.8130161523252234
C001000789,25,0.8023016247354383
C001001003,25,0.7831619206505006
C001001125,25,0.7764095593816497
C001001153,25,0.730858501804851
C001000002,26,0.7597025344496247
C001000067,26,0.7792195284015819
C001000157,26,0.7983371816961008
C001000244,26,0.7876827215991092
C001000551,26,0.7453024651037826
